Title,Start,End,Mark,URL
Orientation,8/8/17 11:00 AM,8/8/17 5:00 PM,
Form Submission,8/9/17 11:00 AM,8/9/17 5:00 PM,
Interview,8/10/17 11:00 AM,8/10/17 5:00 PM,
Interview,8/11/17 11:00 AM,8/11/17 5:00 PM,
Lecture 1 - Competitive Coding,8/16/17 11:00 AM,8/16/17 5:00 PM,
Lecture 1 - Git and Github Introduction,8/18/17 11:00 AM,8/18/17 5:00 PM,
Lecture 1 - Android Development,8/21/17 11:00 AM,8/21/17 5:00 PM,
Lecture 1 - Web Development,8/22/17 11:00 AM,8/22/17 5:00 PM,
Lecture 1 - Python Introduction,8/23/17 11:00 AM,8/23/17 5:00 PM,
Lecture 2 - Git,8/28/17 11:00 AM,8/28/17 5:00 PM,
Lecture 2 - Competitive Coding,8/30/17 11:00 AM,8/30/17 5:00 PM,
Lecture 2 - Android Development,8/31/17 11:00 AM,8/31/17 5:00 PM,
Lecture 2 - Web Development,9/5/17 11:00 AM,9/5/17 5:00 PM,
Lecture 3 - Android Development,9/6/17 11:00 AM,9/6/17 5:00 PM,
Lecture 1 - Machine Learning,9/7/17 11:00 AM,9/7/17 5:00 PM,
Lecture 3 - Python,9/8/17 11:00 AM,9/8/17 5:00 PM,
Lecture 3 - Competitive Coding,9/11/17 11:00 AM,9/11/17 5:00 PM,
Lecture 3 - Python,9/12/17 11:00 AM,9/12/17 5:00 PM,
Lecture 2 - Machine Learning,9/13/17 11:00 AM,9/13/17 5:00 PM,
Lecture 3 - Web Development,9/14/17 11:00 AM,9/14/17 5:00 PM,
Lecture 4 - Android Development,9/18/17 11:00 AM,9/18/17 5:00 PM,
Lecture 4 - Competitive Coding,9/20/17 11:00 AM,9/20/17 5:00 PM,
Lecture 3 - Machine Learning,9/21/17 11:00 AM,9/21/17 5:00 PM,
Lecture 4 - Python,9/22/17 11:00 AM,9/22/17 5:00 PM,
Monthly Competition,9/23/17 11:00 AM,9/23/17 5:00 PM,
Lecture 4 - Web Development,9/26/17 11:00 AM,9/26/17 5:00 PM,
